sequence_id,signature_ac,start,stop
Q9ZWC8,PS51450,327,349
Q9ZWC8,PS51450,376,397
Q9ZWC8,PS51450,427,449
Q9ZWC8,PS51450,476,498
Q9ZWC8,PS51450,548,570
Q9ZWC8,PS51450,664,686
Q9ZWC8,PS51450,688,710
Q9ZWC8,PS51450,712,734
Q9ZWC8,PS50011,859,1147
Q9ZWC8,PS00107,865,888
Q9ZWC8,PS00108,983,995
Q86SQ4,PS01180,41,149
Q86SQ4,PS51828,154,356
Q86SQ4,PS50221,670,853
Q86SQ4,PS50261,864,1118
Q86SQ4,PS00650,1106,1121
P18089,PS50262,29,423
P18089,PS00237,98,114
Q7XJT7,PS50011,50,291
O73798,PS50853,483,603
O73798,PS50853,604,702
O73798,PS50853,829,924
O73798,PS50011,995,1270
O73798,PS00107,1001,1029
O73798,PS00109,1127,1139
O73798,PS00239,1155,1163
M5A7P9,PS00678,369,383
Q42371,PS51450,93,115
Q42371,PS51450,117,140
Q42371,PS51450,141,163
Q42371,PS51450,165,187
Q42371,PS51450,189,212
Q42371,PS51450,237,259
Q42371,PS51450,260,282
Q42371,PS51450,284,306
Q42371,PS51450,308,330
Q42371,PS51450,332,355
Q42371,PS51450,380,401
Q42371,PS51450,404,425
Q42371,PS51450,428,449
Q42371,PS51450,452,473
Q42371,PS51450,476,498
Q42371,PS51450,500,522
Q42371,PS51450,523,545
Q42371,PS50011,648,918
Q42371,PS00107,654,676
Q42371,PS00108,769,781
Q9W534,PS50262,53,363
Q9W534,PS00237,122,138
Q12791,PS51201,407,549
Q12791,PS51201,839,983
Q12791,PS00092,1156,1162
Q62962,PS01206,302,322
Q02013,PS00221,74,82
Q59XM0,PS50850,143,682
Q9Y6L6,PS50850,30,647
Q9Y6L6,PS51465,453,508
A0PJK1,PS50283,17,493
A0PJK1,PS00457,461,481
Q9SVQ3,PS51334,65,429
Q8TDU6,PS50262,31,280
Q00788,PS50262,54,325
Q00788,PS00237,125,141
Q9JJV4,PS01346,65,80
O97148,PS50261,214,478
Q3E7D0,PS00041,340,381
Q9LYN8,PS50011,917,1192
Q9LYN8,PS00107,923,946
Q9LYN8,PS00108,1039,1051
Q9U298,PS00236,149,163
P43144,PS00236,155,169
Q39203,PS50927,18,139
Q39203,PS50948,321,407
Q39203,PS50011,461,742
Q39203,PS00107,467,490
Q39203,PS00108,581,593
P30302,PS00221,103,111
D3W0D1,PS50041,85,194
Q03206,PS51420,1,176
O04529,PS00546,118,125
O04529,PS00142,277,286
Q6R6I6,PS50068,26,63
Q6R6I6,PS01209,40,62
Q6R6I6,PS51450,127,148
Q6R6I6,PS51450,151,172
Q6R6I6,PS51450,175,196
Q6R6I6,PS51450,199,220
Q6R6I6,PS51450,223,244
Q6R6I6,PS51450,248,269
Q6R6I6,PS51450,272,293
Q6R6I6,PS51450,296,317
Q6R6I6,PS51450,320,341
Q6R6I6,PS51450,344,365
Q6R6I6,PS50262,422,681
O80809,PS51450,98,120
O80809,PS51450,122,145
O80809,PS51450,196,218
O80809,PS51450,289,311
O80809,PS51450,316,339
O80809,PS51450,340,363
O80809,PS51450,364,385
O80809,PS51450,388,411
O80809,PS51450,412,435
O80809,PS51450,436,457
O80809,PS51450,460,482
O80809,PS51450,573,595
O80809,PS51450,596,619
O80809,PS51450,620,641
Q9LPT1,PS51450,137,159
Q9LPT1,PS50011,375,648
Q76JU9,PS50262,22,276
O76689,PS50267,63,611
O76689,PS00610,88,102
O76689,PS00754,170,190
Q9BXA5,PS50262,40,295
Q9BXA5,PS00237,108,124
Q92637,PS50835,22,86
Q92637,PS50835,95,168
P23229,PS51470,30,95
P23229,PS51470,101,166
P23229,PS51470,176,229
P23229,PS51470,283,339
P23229,PS51470,340,402
P23229,PS51470,403,458
P23229,PS51470,459,518
P23229,PS00242,1076,1083
Q8JZM4,PS50026,44,92
Q8JZM4,PS00022,80,91
Q8JZM4,PS50026,94,133
Q8JZM4,PS00022,121,132
Q8JZM4,PS01186,121,132
Q8JZM4,PS50026,309,348
Q8JZM4,PS00022,336,347
Q8JZM4,PS50026,349,390
Q8JZM4,PS00022,378,389
Q8JZM4,PS01186,378,389
Q8JZM4,PS50026,392,428
Q8JZM4,PS00022,416,427
Q8JZM4,PS01186,416,427
Q8JZM4,PS50026,430,466
Q8JZM4,PS00022,454,465
Q8JZM4,PS01186,454,465
Q8JZM4,PS50026,468,503
Q8JZM4,PS00022,491,502
Q8JZM4,PS01186,491,502
Q8JZM4,PS01187,505,529
Q8JZM4,PS50026,505,541
Q8JZM4,PS00010,520,531
Q8JZM4,PS00022,529,540
Q8JZM4,PS50026,543,579
Q8JZM4,PS00022,567,578
Q8JZM4,PS01186,567,578
Q8JZM4,PS01187,581,605
Q8JZM4,PS50026,581,617
Q8JZM4,PS00010,596,607
Q8JZM4,PS00022,605,616
Q8JZM4,PS01186,605,616
Q40687,PS50082,62,103
Q40687,PS50294,62,380
Q40687,PS00678,81,95
Q40687,PS50082,153,195
Q40687,PS00678,173,187
Q40687,PS50082,201,243
Q40687,PS50082,245,286
Q40687,PS00678,313,327
Q40687,PS50082,340,380
Q9R155,PS01130,113,134
Q9R155,PS50801,535,729
O61967,PS51450,37,59
O61967,PS51450,60,81
O61967,PS51450,83,104
O61967,PS51450,106,127
O61967,PS51450,152,174
O61967,PS51450,175,196
O61967,PS51450,198,219
O61967,PS51450,221,242
O61967,PS51450,244,265
O61967,PS51450,290,311
O61967,PS51450,313,334
O61967,PS51450,336,357
O61967,PS51450,359,380
O61967,PS51450,382,403
O61967,PS50106,568,658
Q9Z138,PS50835,55,145
Q9Z138,PS50038,169,303
Q9Z138,PS50070,315,394
Q9Z138,PS00021,364,377
Q9Z138,PS50011,473,746
Q9Z138,PS00109,611,623
P79960,PS50262,52,314
P79960,PS00237,121,137
Q8K1P8,PS50850,326,545
Q8BLA8,PS50297,63,580
Q8BLA8,PS50088,98,130
Q8BLA8,PS50088,165,197
Q8BLA8,PS50088,239,271
Q8BLA8,PS50088,309,341
Q8BLA8,PS50088,342,374
Q8BLA8,PS50088,413,445
Q8BLA8,PS50088,446,478
Q8BLA8,PS00018,469,481
Q8BLA8,PS50088,482,507
Q8BLA8,PS50088,548,580
P50571,PS00236,161,175
P93604,PS50011,339,628
P93604,PS00107,345,367
P93604,PS00108,462,474
P13385,PS50026,83,107
P13385,PS00022,95,106
P12314,PS50835,22,86
P12314,PS50835,95,184
P12314,PS50835,190,277
Q9M2Z1,PS51450,94,116
Q9M2Z1,PS51450,118,140
Q9M2Z1,PS51450,143,166
Q9M2Z1,PS51450,191,213
Q9M2Z1,PS51450,288,310
Q9M2Z1,PS51450,312,334
Q9M2Z1,PS51450,336,358
Q9M2Z1,PS51450,360,382
Q9M2Z1,PS00105,402,415
Q9M2Z1,PS51450,457,479
Q9M2Z1,PS51450,505,527
Q9M2Z1,PS51450,529,551
Q9M2Z1,PS51450,553,575
Q9M2Z1,PS51450,577,598
Q9M2Z1,PS50011,690,967
Q9M2Z1,PS00108,812,824
O80725,PS50929,64,349
O80725,PS50893,384,620
O80725,PS00211,523,537
O80725,PS50929,721,1007
O80725,PS50893,1042,1279
O80725,PS00211,1182,1196
Q9C9Y6,PS51352,19,131
Q9C9Y6,PS00194,49,67
Q7XBS0,PS50283,43,515
Q12333,PS51384,321,419
Q56WM6,PS51334,127,500
Q7TS55,PS50049,40,166
Q7Z020,PS50297,63,602
Q7Z020,PS50088,89,121
Q7Z020,PS50088,122,154
Q7Z020,PS50088,190,211
Q7Z020,PS50088,265,297
Q7Z020,PS50088,336,368
Q7Z020,PS50088,369,401
Q7Z020,PS50088,443,475
Q7Z020,PS50088,476,498
Q7Z020,PS50088,512,544
Q7Z020,PS50088,578,602
Q9Z0M6,PS01187,69,95
Q9Z0M6,PS50026,69,107
Q9Z0M6,PS00010,86,97
Q9Z0M6,PS01187,165,191
Q9Z0M6,PS50026,165,203
Q9Z0M6,PS00010,182,193
Q9Z0M6,PS01187,214,240
Q9Z0M6,PS50026,214,252
Q9Z0M6,PS00010,231,242
Q9Z0M6,PS50221,347,525
Q9Z0M6,PS50261,529,774
O00206,PS51257,1,20
O00206,PS51450,55,76
O00206,PS51450,79,100
O00206,PS51450,103,124
O00206,PS51450,151,172
O00206,PS51450,176,199
O00206,PS51450,374,394
O00206,PS51450,400,422
O00206,PS51450,423,444
O00206,PS51450,497,518
O00206,PS51450,521,542
O00206,PS51450,545,565
O00206,PS50104,672,815
Q24247,PS51470,38,105
Q24247,PS51470,121,186
Q24247,PS51470,193,245
Q24247,PS51470,254,303
Q24247,PS51470,304,366
Q24247,PS51470,367,422
Q24247,PS51470,432,494
Q24247,PS00242,1107,1114
P32329,PS51767,83,475
P32329,PS00141,98,109
P32329,PS00141,368,379
Q9WTY2,PS51421,110,341
Q9WTY2,PS00675,118,131
Q91X52,PS00061,136,164
Q9TTY5,PS50262,32,293
Q9TTY5,PS00237,103,119
Q5RKR3,PS51450,52,73
Q5RKR3,PS51450,100,123
Q5RKR3,PS51450,124,145
Q5RKR3,PS51450,148,169
Q5RKR3,PS51450,172,193
Q5RKR3,PS50835,233,372
Q9SZW4,PS50846,7,73
Q9SZW4,PS00154,391,397
Q9SZW4,PS01229,590,612
C0LGW6,PS50011,648,921
C0LGW6,PS00107,654,676
C0LGW6,PS00108,769,781
Q9HBX8,PS51450,66,88
Q9HBX8,PS51450,91,112
Q9HBX8,PS51450,115,136
Q9HBX8,PS51450,139,160
Q9HBX8,PS51450,163,186
Q9HBX8,PS51450,187,208
Q9HBX8,PS51450,211,232
Q9HBX8,PS51450,235,256
Q9HBX8,PS51450,258,279
Q9HBX8,PS51450,353,374
Q9HBX8,PS51450,375,396
Q9HBX8,PS51450,399,420
Q9HBX8,PS51450,423,443
Q9HBX9,PS50068,26,63
Q9HBX9,PS01209,40,62
Q9HBX9,PS51450,127,148
Q9HBX9,PS51450,151,172
Q9HBX9,PS51450,175,196
Q9HBX9,PS51450,199,220
Q9HBX9,PS51450,223,244
Q9HBX9,PS51450,248,269
Q9HBX9,PS51450,272,293
Q9HBX9,PS51450,296,317
Q9HBX9,PS51450,320,341
Q9HBX9,PS51450,344,365
Q9HBX9,PS50262,422,681
O08892,PS50262,65,368
O08892,PS00237,134,150
P27448,PS50011,56,307
P27448,PS00107,62,85
P27448,PS00108,174,186
P27448,PS50030,326,365
P27448,PS50032,704,753
Q9SH14,PS50053,7,72
Q12891,PS00022,427,438
Q12891,PS01186,427,438
Q9SW27,PS50053,7,73
P15390,PS50096,1720,1749
Q9QUR8,PS51004,53,488
Q9QUR8,PS50835,542,617
Q13336,PS00079,284,304
P51905,PS50267,73,593
P51905,PS00610,98,112
P51905,PS00754,181,201
P54760,PS51550,17,202
P54760,PS00790,178,198
P54760,PS00791,239,260
P54760,PS01186,253,268
P54760,PS50853,323,432
P54760,PS50853,436,529
P54760,PS50011,615,899
P54760,PS00107,621,647
P54760,PS00109,736,748
P54760,PS50105,907,971
P24348,PS50011,885,1152
P24348,PS00107,891,919
P24348,PS00109,1006,1018
Q84T94,PS51746,227,630
P32037,PS50850,13,454
P32037,PS00217,126,151
P32037,PS00216,322,338
P46940,PS50021,44,159
P46940,PS50020,679,712
P46940,PS01159,685,710
P46940,PS50096,745,774
P46940,PS50096,775,804
P46940,PS50096,805,834
P46940,PS50096,835,864
P46940,PS50018,1020,1269
P46940,PS00509,1189,1203
Q12809,PS50112,41,70
Q12809,PS50113,92,144
Q12809,PS50042,742,842
Q6Z2T3,PS00221,106,114
Q13237,PS50042,168,283
Q13237,PS00888,195,211
Q13237,PS00889,231,248
Q13237,PS50042,286,399
Q13237,PS00888,313,329
Q13237,PS00889,355,372
Q13237,PS50011,453,711
Q13237,PS00107,459,486
Q13237,PS00108,572,584
Q13237,PS51285,712,762
Q3U9N9,PS50850,289,512
P13637,PS00154,366,372
Q9ZR72,PS50929,46,333
Q9ZR72,PS50893,368,604
Q9ZR72,PS00211,507,521
Q9ZR72,PS50929,701,988
Q9ZR72,PS50893,1024,1260
Q9ZR72,PS00211,1163,1177
Q9ZR72,PS00455,1271,1282
Q8IWT6,PS51450,522,544
Q8IWT6,PS51450,545,565
Q8IWT6,PS51450,568,588
Q8IWT6,PS51450,592,613
Q8IWT6,PS51450,615,636
Q8IWT6,PS51450,640,662
Q8IWT6,PS51450,663,684
Q8IWT6,PS51450,686,707
Q8IWT6,PS51450,709,730
Q8IWT6,PS51450,732,753
Q8IWT6,PS51450,755,776
P41144,PS50262,76,330
P41144,PS00237,144,160
P11584,PS52047,507,545
P11584,PS00022,533,544
P11584,PS52047,546,600
P11584,PS00243,571,584
P11584,PS52047,601,639
P11584,PS00243,614,629
P11584,PS00022,627,638
P11584,PS01186,627,640
P11584,PS52047,640,683
P11584,PS00243,656,669
P08219,PS00236,166,180
P04264,PS51842,180,493
P04264,PS00226,479,487
P41143,PS50262,66,318
P41143,PS00237,134,150
Q9LV40,PS51334,76,440
Q96CW9,PS51117,35,286
Q96CW9,PS50027,287,335
Q96CW9,PS00022,305,316
Q96CW9,PS50027,353,408
Q96CW9,PS01248,373,409
Q96CW9,PS50027,409,453
Q96CW9,PS00022,427,438
Q96CW9,PS01248,427,456
Q96CW9,PS50026,452,487
Q96CW9,PS00022,475,486
Q96CW9,PS01186,475,486
P78410,PS50835,26,139
P0DMS1,PS51774,10,90
Q9SCZ4,PS50011,536,810
Q9SCZ4,PS00107,542,565
Q9SCZ4,PS00108,657,669
O15552,PS50262,24,273
O15552,PS00237,95,111
Q3TWN3,PS51846,251,431
Q3TWN3,PS51371,450,511
Q3TWN3,PS51371,518,584
Q28362,PS00678,359,373
Q9JKA7,PS50042,595,710
Q9JKA7,PS00888,622,638
P21917,PS50262,51,448
P21917,PS00237,121,137
Q96E93,PS50041,82,185
Q38873,PS50011,59,317
Q38873,PS00107,65,88
Q38873,PS00108,179,191
Q38873,PS50222,360,395
Q38873,PS50222,396,431
Q38873,PS00018,409,421
Q38873,PS50222,432,467
Q38873,PS00018,445,457
Q38873,PS50222,469,504
Q38873,PS00018,482,494
Q38872,PS50011,85,343
Q38872,PS00107,91,114
Q38872,PS00108,205,217
Q38872,PS50222,386,421
Q38872,PS00018,399,411
Q38872,PS50222,422,457
Q38872,PS00018,435,447
Q38872,PS50222,458,493
Q38872,PS00018,471,483
Q38872,PS50222,497,527
Q38872,PS00018,505,517
O60503,PS50125,394,521
O60503,PS00452,498,521
O60503,PS50125,1058,1198
O60503,PS00452,1175,1198
P15116,PS50268,160,267
P15116,PS00232,255,265
P15116,PS50268,268,382
P15116,PS00232,370,380
P15116,PS50268,383,497
P15116,PS50268,498,605
P15116,PS00232,593,603
P15116,PS50268,604,710
P51830,PS50125,394,521
P51830,PS00452,498,521
P51830,PS50125,1058,1198
P51830,PS00452,1175,1198
P20789,PS50262,81,369
P20789,PS00237,155,171
P53987,PS50850,19,445
P53986,PS50850,19,445
O88917,PS50228,40,129
O88917,PS51132,139,398
O88917,PS50227,477,536
O88917,PS50221,669,850
O88917,PS50261,859,1100
O88917,PS00650,1088,1103
Q06451,PS50850,181,607
O88713,PS50041,82,184
C0LGL9,PS50011,304,576
C0LGL9,PS00107,310,336
C0LGL9,PS00108,423,435
Q495A1,PS50835,17,108
Q91ZE5,PS01187,77,103
Q91ZE5,PS00010,94,105
Q91ZE5,PS50221,182,339
Q91ZE5,PS50261,346,596
Q91ZE5,PS00650,584,599
Q8K3P1,PS01212,260,286
Q9FKP4,PS50067,138,452
Q9FKP4,PS00411,352,363
C0LGD7,PS50011,625,897
C0LGD7,PS00107,631,653
C0LGD7,PS00108,745,757
O44616,PS50850,50,496
O44616,PS00217,163,188
Q23022,PS00236,151,165
P08069,PS50853,491,609
P08069,PS50853,610,708
P08069,PS50853,735,828
P08069,PS50853,834,927
P08069,PS50011,999,1274
P08069,PS00107,1005,1033
P08069,PS00109,1131,1143
P08069,PS00239,1159,1167
Q8SWR3,PS50262,106,389
Q6AWJ9,PS50835,25,114
Q6AWJ9,PS50835,127,199
Q6AWJ9,PS50835,251,365
Q6AWJ9,PS50835,368,463
Q6AWJ9,PS50835,468,558
Q6AWJ9,PS50011,692,1028
Q6AWJ9,PS00109,888,900
P42866,PS50262,85,336
P42866,PS00237,153,169
P08220,PS00236,161,175
Q7M730,PS50835,26,142
Q8VZG8,PS51450,119,141
Q8VZG8,PS51450,143,166
Q8VZG8,PS51450,167,189
Q8VZG8,PS51450,215,237
Q8VZG8,PS51450,239,261
Q8VZG8,PS51450,311,333
Q8VZG8,PS51450,359,381
Q8VZG8,PS51450,383,404
Q8VZG8,PS51450,407,427
Q8VZG8,PS51450,503,525
Q8VZG8,PS51450,527,549
Q8VZG8,PS51450,551,574
Q8VZG8,PS51450,575,598
Q8VZG8,PS51450,599,621
Q8VZG8,PS51450,623,645
Q8VZG8,PS51450,647,669
Q8VZG8,PS50011,775,1045
Q8VZG8,PS00107,781,803
Q8VZG8,PS00109,901,913
Q99N50-11,PS50916,1,57
Q99N50-11,PS50004,588,713
Q99N50-11,PS50004,728,857
P10040,PS50026,265,301
P10040,PS00022,289,300
P10040,PS50026,304,341
P10040,PS00022,329,340
P10040,PS50026,346,384
P10040,PS00022,372,383
P10040,PS01186,372,383
P10040,PS01187,386,410
P10040,PS50026,386,423
P10040,PS00010,401,412
P10040,PS01187,425,449
P10040,PS50026,425,461
P10040,PS00010,440,451
P10040,PS00022,449,460
P10040,PS01186,449,460
P10040,PS50026,462,498
P10040,PS00010,477,488
P10040,PS00022,486,497
P10040,PS00022,518,529
P10040,PS50026,543,579
P10040,PS00022,567,578
P10040,PS01186,567,578
P10040,PS50026,609,644
P10040,PS00022,632,643
P10040,PS01186,632,643
P10040,PS01187,646,671
P10040,PS50026,646,683
P10040,PS00010,662,673
P10040,PS00022,671,682
P10040,PS01186,671,682
P10040,PS01187,685,709
P10040,PS50026,685,721
P10040,PS00010,700,711
P10040,PS00022,709,720
P10040,PS01186,709,720
P10040,PS01187,716,747
P10040,PS50026,723,759
P10040,PS00010,738,749
P10040,PS00022,747,758
P10040,PS01187,761,785
P10040,PS50026,761,798
P10040,PS00010,776,787
P10040,PS01187,793,824
P10040,PS50026,800,836
P10040,PS00010,815,826
P10040,PS00022,824,835
P10040,PS01186,824,835
P10040,PS50026,838,900
P10040,PS00022,888,899
P10040,PS01187,902,926
P10040,PS50026,902,938
P10040,PS00010,917,928
P10040,PS00022,926,937
P10040,PS01186,926,937
P10040,PS01187,940,964
P10040,PS50026,940,976
P10040,PS00010,955,966
P10040,PS00022,964,975
P10040,PS50026,978,1019
P10040,PS00022,1007,1018
P10040,PS01186,1007,1018
P10040,PS50025,1021,1203
P10040,PS50026,1205,1241
P10040,PS00010,1220,1231
P10040,PS00022,1229,1240
P10040,PS01186,1229,1240
P10040,PS50025,1248,1483
P10040,PS50026,1479,1515
P10040,PS00010,1494,1505
P10040,PS00022,1503,1514
P10040,PS01186,1503,1514
P10040,PS50025,1555,1757
P10040,PS50026,1758,1792
P10040,PS00022,1780,1791
P10040,PS01186,1780,1791
P10040,PS01187,1787,1818
P10040,PS50026,1794,1830
P10040,PS00010,1809,1820
P10040,PS00022,1818,1829
P10040,PS01186,1818,1829
P10040,PS01187,1832,1856
P10040,PS50026,1832,1868
P10040,PS00010,1847,1858
P10040,PS00022,1856,1867
P10040,PS50026,1871,1909
P10040,PS00022,1900,1911
P10040,PS01186,1900,1911
P10040,PS50026,1912,1948
P10040,PS00022,1936,1947
P10040,PS01186,1936,1947
P10040,PS01187,1950,1974
P10040,PS50026,1950,1987
P10040,PS00010,1965,1976
P10040,PS01187,1989,2015
P10040,PS50026,1989,2027
P10040,PS00010,2006,2017
P10040,PS00022,2015,2026
P10040,PS01186,2015,2026
P10040,PS50026,2028,2068
P10040,PS00022,2056,2067
P10040,PS01186,2056,2067
Q9V5N8,PS50268,360,464
Q9V5N8,PS00232,452,462
Q9V5N8,PS50268,465,581
Q9V5N8,PS00232,569,579
Q9V5N8,PS50268,582,689
Q9V5N8,PS00232,677,687
Q9V5N8,PS50268,690,794
Q9V5N8,PS00232,782,792
Q9V5N8,PS50268,795,897
Q9V5N8,PS50268,898,1007
Q9V5N8,PS00232,995,1005
Q9V5N8,PS50268,1008,1113
Q9V5N8,PS50268,1114,1220
Q9V5N8,PS00232,1208,1218
Q9V5N8,PS01186,1464,1479
Q9V5N8,PS50026,1482,1518
Q9V5N8,PS00022,1506,1517
Q9V5N8,PS50025,1556,1753
Q9V5N8,PS50026,1756,1792
Q9V5N8,PS00022,1780,1791
